loss,epoch
3.2760575545349133,1
2.783341305138771,2
2.664763812658211,3
2.6013646855476313,4
2.559707606357392,5
2.530424561752888,6
2.5077389556611647,7
2.490135151535673,8
2.4758827428178396,9
2.464037739011405,10
2.4541149430118927,11
2.445335755179135,12
2.437927256837158,13
2.4313003934332094,14
2.4255058786047408,15
2.420303730937146,16
2.415692867889517,17
2.4112079336489174,18
2.4074213670784608,19
2.4040440736676065,20
2.40046979335453,21
2.3976424354761465,22
2.3946581112208016,23
2.392303064819639,24
2.3896954226499267,25
2.3879321959212216,26
2.385605991877761,27
2.383437675347624,28
2.381665730338806,29
2.3800256842225913,30
2.378780730438073,31
2.377072732356802,32
2.3755380500196535,33
2.3744227839406844,34
2.3729875222505807,35
2.3718247849073637,36
2.3707865186074666,37
2.3696052043550733,38
2.3690566604423973,39
2.367977316274014,40
2.367585489277633,41
2.3661396702477586,42
2.365796266325459,43
2.364819461831778,44
2.364526784254382,45
2.363805053961973,46
2.3630718809354008,47
2.3626565026780773,48
2.362435414637061,49
2.3616123344096134,50
